"depth_avg_mm" "BestAD" "MinAD" "MaxAD" "SAR_mm.yr" "SAR_err_mm.yr"
177 1970.25938425908 1967.73759363099 1972.78117488716 3.03371505531842 0.145056975299013
178 1969.9297554107 1967.39220359119 1972.46730723021 3.03371505531842 0.145056975299013
179 1969.60012656232 1967.04681355138 1972.15343957325 3.03371505531842 0.145056975299013
180 1969.27049771394 1966.70142351157 1971.8395719163 3.03371505531842 0.145056975299013
181 1968.94086886555 1966.35603347177 1971.52570425934 3.03371505531842 0.145056975299013
182 1968.61124001717 1966.01064343196 1971.21183660239 3.03371505531842 0.145056975299013
183 1968.28161116879 1965.66525339215 1970.89796894543 3.03371505531842 0.145056975299013
184 1967.95198232041 1965.31986335235 1970.58410128848 3.03371505531842 0.145056975299013
185 1967.62235347203 1964.97447331254 1970.27023363152 3.03371505531842 0.145056975299013
186 1967.29272462365 1964.62908327273 1969.95636597457 3.03371505531842 0.145056975299013
187 1966.96309577527 1964.28369323293 1969.64249831761 3.03371505531842 0.145056975299013
188 1966.63346692689 1963.93830319312 1969.32863066066 3.03371505531842 0.145056975299013
189 1966.30383807851 1963.59291315332 1969.0147630037 3.03371505531842 0.145056975299013
190 1965.97420923013 1963.24752311351 1968.70089534675 3.03371505531842 0.145056975299013
191 1965.64458038175 1962.9021330737 1968.38702768979 3.03371505531842 0.145056975299013
192 1965.31495153337 1962.5567430339 1968.07316003284 3.03371505531842 0.145056975299013
193 1964.98532268499 1962.21135299409 1967.75929237588 3.03371505531842 0.145056975299013
194 1964.6556938366 1961.86596295428 1967.44542471892 3.03371505531842 0.145056975299013
195 1964.32606498822 1961.52057291448 1967.13155706197 3.03371505531842 0.145056975299013
196 1963.99643613984 1961.17518287467 1966.81768940501 3.03371505531842 0.145056975299013
197 1963.66680729146 1960.82979283487 1966.50382174806 3.03371505531842 0.145056975299013
198 1963.33717844308 1960.48440279506 1966.1899540911 3.03371505531842 0.145056975299013
199 1963.0075495947 1960.13901275525 1965.87608643415 3.03371505531842 0.145056975299013
200 1962.67792074632 1959.79362271545 1965.56221877719 3.03371505531842 0.145056975299013
201 1962.34829189794 1959.44823267564 1965.24835112024 3.03371505531842 0.145056975299013
202 1962.01866304956 1959.10284263583 1964.93448346328 3.03371505531842 0.145056975299013
203 1961.68903420118 1958.75745259603 1964.62061580633 3.03371505531842 0.145056975299013
204 1961.3594053528 1958.41206255622 1964.30674814937 3.03371505531842 0.145056975299013
205 1961.02977650442 1958.06667251642 1963.99288049242 3.03371505531842 0.145056975299013
206 1960.70014765604 1957.72128247661 1963.67901283546 3.03371505531842 0.145056975299013
207 1960.37051880765 1957.3758924368 1963.36514517851 3.03371505531842 0.145056975299013
208 1960.04088995927 1957.030502397 1963.05127752155 3.03371505531842 0.145056975299013
209 1959.71126111089 1956.68511235719 1962.7374098646 3.03371505531842 0.145056975299013
210 1959.38163226251 1956.33972231738 1962.42354220764 3.03371505531842 0.145056975299013
211 1959.05200341413 1955.99433227758 1962.10967455069 3.03371505531842 0.145056975299013
212 1958.72237456575 1955.64894223777 1961.79580689373 3.03371505531842 0.145056975299013
213 1958.39274571737 1955.30355219796 1961.48193923678 3.03371505531842 0.145056975299013
214 1958.06311686899 1954.95816215816 1961.16807157982 3.03371505531842 0.145056975299013
215 1957.73348802061 1954.61277211835 1960.85420392287 3.03371505531842 0.145056975299013
216 1957.40385917223 1954.26738207855 1960.54033626591 3.03371505531842 0.145056975299013
217 1957.07423032385 1953.92199203874 1960.22646860895 3.03371505531842 0.145056975299013
218 1956.74460147547 1953.57660199893 1959.912600952 3.03371505531842 0.145056975299013
219 1956.41497262709 1953.23121195913 1959.59873329504 3.03371505531842 0.145056975299013
220 1956.0853437787 1952.88582191932 1959.28486563809 3.03371505531842 0.145056975299013
221 1955.75571493032 1952.54043187951 1958.97099798113 3.03371505531842 0.145056975299013
222 1955.42608608194 1952.19504183971 1958.65713032418 3.03371505531842 0.145056975299013
223 1955.09645723356 1951.8496517999 1958.34326266722 3.03371505531842 0.145056975299013
224 1954.76682838518 1951.5042617601 1958.02939501027 3.03371505531842 0.145056975299013
225 1954.4371995368 1951.15887172029 1957.71552735331 3.03371505531842 0.145056975299013
226 1954.10757068842 1950.81348168048 1957.40165969636 3.03371505531842 0.145056975299013
227 1953.77794184004 1950.46809164068 1957.0877920394 3.03371505531842 0.145056975299013
228 1953.44831299166 1950.12270160087 1956.77392438245 3.03371505531842 0.145056975299013
229 1953.11868414328 1949.77731156106 1956.46005672549 3.03371505531842 0.145056975299013
230 1952.7890552949 1949.43192152126 1956.14618906854 3.03371505531842 0.145056975299013
231 1952.45942644652 1949.08653148145 1955.83232141158 3.03371505531842 0.145056975299013
232 1952.12979759814 1948.74114144164 1955.51845375463 3.03371505531842 0.145056975299013
233 1951.80016874975 1948.39575140184 1955.20458609767 3.03371505531842 0.145056975299013
234 1951.47053990137 1948.05036136203 1954.89071844072 3.03371505531842 0.145056975299013
235 1951.14091105299 1947.70497132223 1954.57685078376 3.03371505531842 0.145056975299013
236 1950.81128220461 1947.35958128242 1954.26298312681 3.03371505531842 0.145056975299013
237 1950.48165335623 1947.01419124261 1953.94911546985 3.03371505531842 0.145056975299013
238 1950.15202450785 1946.66880120281 1953.63524781289 3.03371505531842 0.145056975299013
239 1949.82239565947 1946.323411163 1953.32138015594 3.03371505531842 0.145056975299013
240 1949.49276681109 1945.97802112319 1953.00751249898 3.03371505531842 0.145056975299013
241 1949.16313796271 1945.63263108339 1952.69364484203 3.03371505531842 0.145056975299013
242 1948.83350911433 1945.28724104358 1952.37977718507 3.03371505531842 0.145056975299013
243 1948.50388026595 1944.94185100378 1952.06590952812 3.03371505531842 0.145056975299013
244 1948.17425141757 1944.59646096397 1951.75204187116 3.03371505531842 0.145056975299013
245 1947.84462256919 1944.25107092416 1951.43817421421 3.03371505531842 0.145056975299013
246 1947.5149937208 1943.90568088436 1951.12430655725 3.03371505531842 0.145056975299013
247 1947.18536487242 1943.56029084455 1950.8104389003 3.03371505531842 0.145056975299013
248 1946.85573602404 1943.21490080474 1950.49657124334 3.03371505531842 0.145056975299013
249 1946.52610717566 1942.86951076494 1950.18270358639 3.03371505531842 0.145056975299013
250 1946.19647832728 1942.52412072513 1949.86883592943 3.03371505531842 0.145056975299013
251 1945.8668494789 1942.17873068533 1949.55496827248 3.03371505531842 0.145056975299013
252 1945.53722063052 1941.83334064552 1949.24110061552 3.03371505531842 0.145056975299013
253 1945.20759178214 1941.48795060571 1948.92723295857 3.03371505531842 0.145056975299013
254 1944.87796293376 1941.14256056591 1948.61336530161 3.03371505531842 0.145056975299013
255 1944.54833408538 1940.7971705261 1948.29949764466 3.03371505531842 0.145056975299013
256 1944.218705237 1940.45178048629 1947.9856299877 3.03371505531842 0.145056975299013
257 1943.88907638862 1940.10639044649 1947.67176233075 3.03371505531842 0.145056975299013
258 1943.55944754024 1939.76100040668 1947.35789467379 3.03371505531842 0.145056975299013
259 1943.22981869185 1939.41561036687 1947.04402701684 3.03371505531842 0.145056975299013
260 1942.90018984347 1939.07022032707 1946.73015935988 3.03371505531842 0.145056975299013
261 1942.57056099509 1938.72483028726 1946.41629170292 3.03371505531842 0.145056975299013
262 1942.24093214671 1938.37944024746 1946.10242404597 3.03371505531842 0.145056975299013
